first_ohio_name,first_ohio_lon,first_ohio_lat,second_ohio_name,second_ohio_lon,second_ohio_lat,dist_ohio,first_abroad_name,first_abroad_lon,first_abroad_lat,second_abroad_name,second_abroad_lon,second_abroad_lat,dist_abroad,ratio
Amsterdam,-80.9228671,40.4736758,Mecca Township,-80.955388,40.714978,26.971717095482653,"Amsterdam, Netherlands",4.8936041,52.3727598,"Mecca, Saudi Arabia",39.826869,21.420847,4554.286458181751,0.00592227066591916
Amsterdam,-80.9228671,40.4736758,Medina,-81.8637474,41.1383878,108.3231993661292,"Amsterdam, Netherlands",4.8936041,52.3727598,"Medina, Saudi Arabia",39.6111216,24.471153,4258.265523258694,0.025438338397280928
Amsterdam,-80.9228671,40.4736758,Milan,-82.6054547,41.2975519,168.51751461749868,"Amsterdam, Netherlands",4.8936041,52.3727598,"Milano, Italy",9.1905,45.4668,829.240009483095,0.20321922807673462
Amsterdam,-80.9228671,40.4736758,Mogadore,-81.393946,41.050775,75.44484612554405,"Amsterdam, Netherlands",4.8936041,52.3727598,"Essaouira, Morocco",-9.7620903,31.5118281,2605.839541609786,0.028952222468363178
Amsterdam,-80.9228671,40.4736758,New Riegel,-83.318534,41.0514438,211.73926547741016,"Amsterdam, Netherlands",4.8936041,52.3727598,"Riegel, Germany",7.740185454385324,48.15925665,510.24042394570324,0.41497940096557734
Amsterdam,-80.9228671,40.4736758,Oxford,-84.7420519,39.5103048,342.5033344676244,"Amsterdam, Netherlands",4.8936041,52.3727598,"Oxford, United Kingdom",-1.2578499,51.7520131,426.0226502173516,0.8039556917757386
Amsterdam,-80.9228671,40.4736758,Padua,-84.7838517,40.5083795,326.4993278764534,"Amsterdam, Netherlands",4.8936041,52.3727598,"Padua, Italy",11.8734455,45.4077172,926.5295116911915,0.3523895609978954
Amsterdam,-80.9228671,40.4736758,Parma,-81.7355692,41.3822398,121.93402435416854,"Amsterdam, Netherlands",4.8936041,52.3727598,"Parma, Italy",10.3280833,44.8013678,931.3312686748324,0.13092443951513125
Amsterdam,-80.9228671,40.4736758,Parral,-81.4970623,40.5611743,49.50290877922215,"Amsterdam, Netherlands",4.8936041,52.3727598,"Parral, Mexico",-93.0029074,16.3692304,9095.0942038374,0.005442814298540844
Amsterdam,-80.9228671,40.4736758,Pyrmont,-84.4607823,39.8119978,309.5743240530115,"Amsterdam, Netherlands",4.8936041,52.3727598,"Bad Pyrmont, Germany",9.2434635,51.9850503,299.66249396560454,1.0330766455162208
Amsterdam,-80.9228671,40.4736758,Ravenna,-81.242047,41.157557,80.64835382627803,"Amsterdam, Netherlands",4.8936041,52.3727598,"Ravenna, Italy",12.059009490863945,44.3640607,1034.8035624315226,0.07793590663408145
Amsterdam,-80.9228671,40.4736758,Seville,-81.86236,41.010055,99.10487752046393,"Amsterdam, Netherlands",4.8936041,52.3727598,"Seville, Spain",-5.9953403,37.3886303,1869.3046277170554,0.05301697543085781
Amsterdam,-80.9228671,40.4736758,Stockport,-81.7929122,39.5484057,126.78955988038332,"Amsterdam, Netherlands",4.8936041,52.3727598,"Stockport, United Kingdom",-2.160243,53.407901,486.8059957261702,0.26045192744853296
